0.0.0, Water,Water,Water
 14.1.1,Tropical Dry Forests, DRY GULF OF MEXICO COASTAL PLAINS AND HILLS, Coastal Plain with Low Tropical Deciduous Forest
 14.1.2,Tropical Dry Forests, DRY GULF OF MEXICO COASTAL PLAINS AND HILLS, Hills and Sierra with Low Tropical Deciduous Forest and Oak Forest
 14.2.1,Tropical Dry Forests, NORTHWESTERN PLAIN OF THE YUCATAN PENINSULA, Northwestern Yucatan Plain with Low Tropical Deciduous Forest
 14.3.1,Tropical Dry Forests," WESTERN PACIFIC COASTAL PLAIN,  HILLS AND CANYONS", Sinaloa Coastal Plain with Low Thorn Tropical Forest and Wetlands
 14.3.2,Tropical Dry Forests," WESTERN PACIFIC COASTAL PLAIN,  HILLS AND CANYONS", Sinaloa and Sonora Hills and Canyons with Xeric Shrub and Low Tropical Deciduous Forest
 14.4.1,Tropical Dry Forests, INTERIOR DEPRESSIONS, Balsas Depression with Low Tropical Deciduous Forest and Xerophytic Shrub
 14.4.2,Tropical Dry Forests, INTERIOR DEPRESSIONS, Chiapas Depression with Low Deciduous and Medium Semi-Deciduous Tropical Forest
 14.4.3,Tropical Dry Forests, INTERIOR DEPRESSIONS, Valleys and Depressions with Xeric Shrub and Low Tropical Deciduous Forest
 14.5.1,Tropical Dry Forests, SOUTHERN PACIFIC COASTAL PLAIN AND HILLS, Tehuantepec Canyon and Plain with Low Tropical Deciduous Forest and Low Thorn Tropical Forest
 14.5.2,Tropical Dry Forests, SOUTHERN PACIFIC COASTAL PLAIN AND HILLS, South Pacific Hills and Piedmonts with Low Tropical Deciduous Forest
 14.6.1,Tropical Dry Forests, SIERRA AND PLAINS OF EL CABO, Los Cabos Plains and Hills with Low Tropical Deciduous Forest and Xeric Shrub
 14.6.2,Tropical Dry Forests, SIERRA AND PLAINS OF EL CABO, La Laguna Mountains with Oak and Conifer Forest
 15.1.1,Tropical Humid Forests, HUMID GULF OF MEXICO COASTAL PLAINS AND HILLS, Gulf of Mexico Coastal Plain with Wetlands and High Tropical Rain Forest
 15.1.2,Tropical Humid Forests, HUMID GULF OF MEXICO COASTAL PLAINS AND HILLS, Hills with Medium and High Evergreen Tropical Forest
 15.2.1,Tropical Humid Forests, PLAIN AND HILLS OF THE YUCATAN PENINSULA, Plain with Low and Medium Deciduous Tropical Forest
 15.2.2,Tropical Humid Forests, PLAIN AND HILLS OF THE YUCATAN PENINSULA, Plain with Medium and High Semi-Evergreen Tropical Forest
 15.2.3,Tropical Humid Forests, PLAIN AND HILLS OF THE YUCATAN PENINSULA, Hills with High and Medium Semi-Evergreen Tropical Forest
 15.3.1,Tropical Humid Forests, SIERRA LOS TUXTLAS, Los Tuxtlas Sierra with High Evergreen Tropical Forest
 15.4.1,Tropical Humid Forests, EVERGLADES, Southern Florida Coastal Plain
 15.5.1,Tropical Humid Forests, WESTERN PACIFIC PLAIN AND HILLS, Nayarit and Sinaloa Plain with Low Thorn Tropical Forest
 15.5.2,Tropical Humid Forests, WESTERN PACIFIC PLAIN AND HILLS, Jalisco and Nayarit Hills and Plains with Medium Semi-Evergreen Tropical Forest
 15.6.1,Tropical Humid Forests, COASTAL PLAIN AND HILLS OF SOCONUSCO, Coastal Plain and Hills with High and Medium-High Evergreen Tropical Forest and Wetlands
